player,team,position,age,birth_year,nationality,games,games_starts,minutes,minutes_90s,goals,goals_pens,assists,goals_assists,pens_made,pens_att,cards_yellow,cards_red,transfer_value,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,matches
Amass Harry,Manchester Utd,MF,17,2007,eng ENG,5,4,346,3.8,0,0,0,0,0,0,0,0,N/a,0.00,0.00,0.00,0.00,0.00,Matches
Antony,Manchester Utd,"FW,MF",24,2000,br BRA,8,0,141,1.6,0,0,0,0,0,0,0,0,N/a,0.00,0.00,0.00,0.00,0.00,Matches
Bayındır Altay,Manchester Utd,GK,26,1998,tr TUR,4,4,360,4.0,0,0,0,0,0,0,0,0,13215785,0.00,0.00,0.00,0.00,0.00,Matches
Casemiro,Manchester Utd,MF,32,1992,br BRA,24,18,1494,16.6,1,1,0,1,0,0,5,0,22630000,0.06,0.00,0.06,0.06,0.06,Matches
Collyer Toby,Manchester Utd,MF,20,2004,eng ENG,6,0,179,2.0,0,0,0,0,0,0,0,0,N/a,0.00,0.00,0.00,0.00,0.00,Matches
Dalot Diogo,Manchester Utd,"MF,DF",25,1999,pt POR,33,31,2814,31.3,0,0,3,3,0,0,5,0,51329842,0.00,0.10,0.10,0.00,0.10,Matches
Diallo Amad,Manchester Utd,"MF,FW",22,2002,ci CIV,26,20,1901,21.1,8,8,6,14,0,0,5,0,53243186,0.38,0.28,0.66,0.38,0.66,Matches
Dorgu Patrick,Manchester Utd,MF,19,2004,dk DEN,12,10,842,9.4,0,0,0,0,0,0,3,1,32146200,0.00,0.00,0.00,0.00,0.00,Matches
Eriksen Christian,Manchester Utd,MF,32,1992,dk DEN,23,11,1061,11.8,1,0,2,3,1,1,4,0,N/a,0.08,0.17,0.25,0.00,0.17,Matches
Evans Jonny,Manchester Utd,DF,36,1988,nir NIR,7,3,315,3.5,0,0,0,0,0,0,1,0,N/a,0.00,0.00,0.00,0.00,0.00,Matches
Fernandes Bruno,Manchester Utd,MF,29,1994,pt POR,36,35,3018,33.5,8,5,10,18,3,3,5,2,64630852,0.24,0.30,0.54,0.15,0.45,Matches
Fredricson Tyler,Manchester Utd,DF,19,2005,eng ENG,2,2,165,1.8,0,0,0,0,0,0,0,0,N/a,0.00,0.00,0.00,0.00,0.00,Matches
Garnacho Alejandro,Manchester Utd,MF,20,2004,ar ARG,36,23,2199,24.4,6,6,2,8,0,0,3,0,70914871,0.25,0.08,0.33,0.25,0.33,Matches
Heaven Ayden,Manchester Utd,DF,17,2006,eng ENG,4,2,170,1.9,0,0,0,0,0,0,1,0,18100908,0.00,0.00,0.00,0.00,0.00,Matches
Højlund Rasmus,Manchester Utd,FW,21,2003,dk DEN,32,23,2004,22.3,4,4,0,4,0,0,2,0,N/a,0.18,0.00,0.18,0.18,0.18,Matches
Ligt Matthijs,Manchester Utd,DF,24,1999,nl NED,29,25,2123,23.6,2,2,0,2,0,0,3,0,N/a,0.08,0.00,0.08,0.08,0.08,Matches
Lindelöf Victor,Manchester Utd,DF,30,1994,se SWE,16,6,704,7.8,0,0,0,0,0,0,1,0,14130000,0.00,0.00,0.00,0.00,0.00,Matches
Maguire Harry,Manchester Utd,DF,31,1993,eng ENG,27,19,1758,19.5,1,1,0,1,0,0,7,0,17773985,0.05,0.00,0.05,0.05,0.05,Matches
Mainoo Kobbie,Manchester Utd,MF,19,2005,eng ENG,25,19,1651,18.3,0,0,0,0,0,0,5,0,66439268,0.00,0.00,0.00,0.00,0.00,Matches
Malacia Tyrell,Manchester Utd,MF,24,1999,nl NED,3,2,100,1.1,0,0,0,0,0,0,1,0,15760000,0.00,0.00,0.00,0.00,0.00,Matches
Martínez Lisandro,Manchester Utd,DF,26,1998,ar ARG,20,20,1751,19.5,2,2,1,3,0,0,7,0,59705321,0.10,0.05,0.15,0.10,0.15,Matches
Mazraoui Noussair,Manchester Utd,"DF,MF",26,1997,ma MAR,37,34,2838,31.5,0,0,1,1,0,0,3,0,45294728,0.00,0.03,0.03,0.00,0.03,Matches
Mount Mason,Manchester Utd,"MF,FW",25,1999,eng ENG,17,8,622,6.9,1,1,0,1,0,0,3,0,47870000,0.14,0.00,0.14,0.14,0.14,Matches
Obi-Martin Chidozie,Manchester Utd,FW,16,2007,dk DEN,7,1,165,1.8,0,0,0,0,0,0,1,0,N/a,0.00,0.00,0.00,0.00,0.00,Matches
Onana André,Manchester Utd,GK,28,1996,cm CMR,34,34,3060,34.0,0,0,0,0,0,0,0,0,N/a,0.00,0.00,0.00,0.00,0.00,Matches
Rashford Marcus,Manchester Utd,MF,26,1997,eng ENG,15,12,978,10.9,4,4,1,5,0,0,2,0,N/a,0.37,0.09,0.46,0.37,0.46,Matches
Shaw Luke,Manchester Utd,DF,29,1995,eng ENG,7,4,349,3.9,0,0,0,0,0,0,1,0,23850000,0.00,0.00,0.00,0.00,0.00,Matches
Ugarte Manuel,Manchester Utd,MF,23,2001,uy URU,29,22,1785,19.8,1,1,2,3,0,0,11,0,68325598,0.05,0.10,0.15,0.05,0.15,Matches
Yoro Leny,Manchester Utd,DF,18,2005,fr FRA,21,12,1165,12.9,0,0,0,0,0,0,5,0,75759601,0.00,0.00,0.00,0.00,0.00,Matches
Zirkzee Joshua,Manchester Utd,"FW,MF",23,2001,nl NED,32,14,1402,15.6,3,3,1,4,0,0,2,0,49104608,0.19,0.06,0.26,0.19,0.26,Matches
