player,team,position,age,birth_year,nationality,games,games_starts,minutes,minutes_90s,goals,goals_pens,assists,goals_assists,pens_made,pens_att,cards_yellow,cards_red,transfer_value,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,matches
Almirón Miguel,Newcastle United,FW,30,1994,py PAR,9,1,157,1.7,0,0,0,0,0,0,0,0,N/a,0.00,0.00,0.00,0.00,0.00,Matches
Álvarez Edson,West Ham United,MF,26,1997,mx MEX,28,20,1772,19.7,0,0,1,1,0,0,9,1,N/a,0.00,0.05,0.05,0.00,0.05,Matches
Antonio Michail,West Ham United,FW,34,1990,jm JAM,14,11,836,9.3,1,1,1,2,0,0,1,0,N/a,0.11,0.11,0.22,0.11,0.22,Matches
Areola Alphonse,West Ham United,GK,31,1993,fr FRA,26,25,2260,25.1,0,0,0,0,0,0,0,0,12446376,0.00,0.00,0.00,0.00,0.00,Matches
Barnes Harvey,Newcastle United,"FW,MF",26,1997,eng ENG,33,17,1755,19.5,9,9,4,13,0,0,0,0,42909480,0.46,0.21,0.67,0.46,0.67,Matches
Botman Sven,Newcastle United,DF,24,2000,nl NED,8,6,412,4.6,0,0,0,0,0,0,1,0,55176526,0.00,0.00,0.00,0.00,0.00,Matches
Bowen Jarrod,West Ham United,"MF,FW",27,1996,eng ENG,34,34,2973,33.0,13,12,8,21,1,1,1,0,49024255,0.39,0.24,0.64,0.36,0.61,Matches
Burn Dan,Newcastle United,DF,32,1992,eng ENG,37,37,3330,37.0,1,1,1,2,0,0,11,0,14040000,0.03,0.03,0.05,0.03,0.05,Matches
Coufal Vladimír,West Ham United,"DF,MF",31,1992,cz CZE,22,11,1067,11.9,0,0,0,0,0,0,5,0,N/a,0.00,0.00,0.00,0.00,0.00,Matches
Cresswell Aaron,West Ham United,DF,34,1989,eng ENG,18,10,824,9.2,0,0,0,0,0,0,3,0,N/a,0.00,0.00,0.00,0.00,0.00,Matches
Dúbravka Martin,Newcastle United,GK,35,1989,sk SVK,10,10,900,10.0,0,0,0,0,0,0,0,0,N/a,0.00,0.00,0.00,0.00,0.00,Matches
Fabiański Łukasz,West Ham United,GK,39,1985,pl POL,14,13,1160,12.9,0,0,0,0,0,0,2,0,N/a,0.00,0.00,0.00,0.00,0.00,Matches
Ferguson Evan,West Ham United,FW,19,2004,ie IRL,8,1,156,1.7,0,0,0,0,0,0,0,0,N/a,0.00,0.00,0.00,0.00,0.00,Matches
Füllkrug Niclas,West Ham United,FW,31,1993,de GER,18,6,790,8.8,3,3,2,5,0,0,2,0,N/a,0.34,0.23,0.57,0.34,0.57,Matches
Gordon Anthony,Newcastle United,"FW,MF",23,2001,eng ENG,34,28,2434,27.0,6,5,5,11,1,2,2,0,53248064,0.22,0.18,0.41,0.18,0.37,Matches
Guilherme Luis,West Ham United,MF,18,2006,br BRA,12,1,150,1.7,0,0,0,0,0,0,0,0,N/a,0.00,0.00,0.00,0.00,0.00,Matches
Guimarães Bruno,Newcastle United,MF,26,1997,br BRA,38,38,3271,36.3,5,5,6,11,0,0,7,0,84057099,0.14,0.17,0.30,0.14,0.30,Matches
Hall Lewis,Newcastle United,DF,19,2004,eng ENG,27,24,2189,24.3,0,0,4,4,0,0,3,0,36857880,0.00,0.16,0.16,0.00,0.16,Matches
Ings Danny,West Ham United,FW,32,1992,eng ENG,15,1,284,3.2,1,1,2,3,0,0,0,0,N/a,0.32,0.63,0.95,0.32,0.95,Matches
Irving Andy,West Ham United,MF,24,2000,sct SCO,10,1,166,1.8,0,0,0,0,0,0,2,0,N/a,0.00,0.00,0.00,0.00,0.00,Matches
Isak Alexander,Newcastle United,FW,24,1999,se SWE,34,34,2756,30.6,23,19,6,29,4,4,1,0,140100000,0.75,0.20,0.95,0.62,0.82,Matches
Joelinton,Newcastle United,"MF,FW",27,1996,br BRA,29,29,2393,26.6,4,4,3,7,0,0,10,0,50510746,0.15,0.11,0.26,0.15,0.26,Matches
Kelly Lloyd,Newcastle United,DF,25,1998,eng ENG,10,4,303,3.4,0,0,1,1,0,0,2,0,N/a,0.00,0.30,0.30,0.00,0.30,Matches
Kilman Max,West Ham United,DF,27,1997,eng ENG,38,38,3348,37.2,0,0,1,1,0,0,5,0,N/a,0.00,0.03,0.03,0.00,0.03,Matches
Krafth Emil,Newcastle United,DF,29,1994,se SWE,12,2,342,3.8,0,0,0,0,0,0,2,0,2063873,0.00,0.00,0.00,0.00,0.00,Matches
Kudus Mohammed,West Ham United,"MF,FW",23,2000,gh GHA,32,31,2590,28.8,5,5,3,8,0,0,2,1,68494396,0.17,0.10,0.28,0.17,0.28,Matches
Livramento Valentino,Newcastle United,DF,21,2002,eng ENG,37,32,2840,31.6,0,0,1,1,0,0,1,0,N/a,0.00,0.03,0.03,0.00,0.03,Matches
