,nationality,nationality,nationality,position,position,position,birth_year,birth_year,birth_year,games,games,games,games_starts,games_starts,games_starts,minutes,minutes,minutes,minutes_90s,minutes_90s,minutes_90s,goals,goals,goals,assists,assists,assists,goals_assists,goals_assists,goals_assists,goals_pens,goals_pens,goals_pens,pens_made,pens_made,pens_made,pens_att,pens_att,pens_att,cards_yellow,cards_yellow,cards_yellow,cards_red,cards_red,cards_red,goals_per90,goals_per90,goals_per90,assists_per90,assists_per90,assists_per90,goals_assists_per90,goals_assists_per90,goals_assists_per90,goals_pens_per90,goals_pens_per90,goals_pens_per90,goals_assists_pens_per90,goals_assists_pens_per90,goals_assists_pens_per90,matches,matches,matches
,mean,median,std,mean,median,std,mean,median,std,mean,median,std,mean,median,std,mean,median,std,mean,median,std,mean,median,std,mean,median,std,mean,median,std,mean,median,std,mean,median,std,mean,median,std,mean,median,std,mean,median,std,mean,median,std,mean,median,std,mean,median,std,mean,median,std,mean,median,std,mean,median,std
team,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arsenal,0.0,0.0,0.0,0.0,0.0,0.0,1998.2727272727273,1997.5,3.9542842128966704,25.318181818181817,25.5,8.202127271317591,19.0,18.5,10.770329614269007,1698.909090909091,1657.5,941.3754834633207,18.87727272727273,18.4,10.464130652043213,3.0454545454545454,2.5,2.9028274021041836,2.5,2.0,2.939873661036668,5.545454545454546,3.5,5.133709999111593,2.9545454545454546,2.0,2.869831133695977,0.09090909090909091,0.0,0.29424494316824984,0.09090909090909091,0.0,0.29424494316824984,3.1818181818181817,3.5,1.9182423412211709,0.2727272727272727,0.0,0.5504818825631803,0.17454545454545453,0.125,0.15894674977510317,0.13136363636363638,0.11,0.13826459983343375,0.3063636363636364,0.31,0.22421387439643756,0.17045454545454544,0.12,0.1581282563444796,0.3022727272727273,0.31,0.21791068109449094,0.0,0.0,0.0
Aston Villa,0.0,0.0,0.0,0.0,0.0,0.0,1997.7142857142858,1997.0,4.035556254807302,21.0,22.0,11.238162496435807,14.928571428571429,11.0,12.563700125622262,1339.392857142857,1129.5,1020.8061207905182,14.882142857142856,12.55,11.340457028200655,2.0,1.0,3.4210676262979227,1.6071428571428572,0.0,2.6989611954215893,3.607142857142857,2.5,5.560037874333336,1.8928571428571428,1.0,3.130959925152357,0.10714285714285714,0.0,0.4162696521251859,0.21428571428571427,0.0,0.5681120688308978,2.7142857142857144,2.0,2.4014986502589935,0.14285714285714285,0.0,0.35634832254989923,0.16285714285714287,0.045,0.26922188484672505,0.08214285714285714,0.0,0.11425627927819701,0.24499999999999997,0.12,0.3151072715641335,0.15285714285714286,0.045,0.26141859639222786,0.23535714285714285,0.12,0.2990909949838398,0.0,0.0,0.0
Bournemouth,0.0,0.0,0.0,0.0,0.0,0.0,1998.6666666666667,1999.0,3.8636169882486993,23.666666666666668,28.5,10.97691913166843,17.375,19.5,12.873337798992013,1558.25,1764.5,1112.1033440405108,17.3125,19.6,12.363561907617006,2.375,1.0,3.70443330172869,1.7083333333333333,1.0,2.0103896803024695,4.083333333333333,2.0,5.23297792571443,2.125,1.0,3.1939140496453153,0.25,0.0,1.224744871391589,0.2916666666666667,0.0,1.2328534123049197,4.041666666666667,3.0,3.209756413169706,0.125,0.0,0.3378319623460881,0.15583333333333335,0.04,0.21313226484706763,0.09375,0.05500000000000001,0.10789739489944583,0.25,0.19,0.27436884092324554,0.14625000000000002,0.04,0.20382883910814464,0.2404166666666667,0.19,0.26207332473228157,0.0,0.0,0.0
Brentford,0.0,0.0,0.0,0.0,0.0,0.0,1998.590909090909,1999.5,3.812998956066085,24.545454545454547,27.5,12.666894506950646,19.0,19.0,14.664502004760305,1702.3636363636363,1681.5,1238.9361621378293,18.90909090909091,18.700000000000003,13.763336704064068,2.9545454545454546,0.0,5.907842025866755,2.0,1.5,2.5634797778466227,4.954545454545454,2.0,7.543381032574015,2.727272727272727,0.0,5.284134548067254,0.22727272727272727,0.0,1.0660035817780522,0.2727272727272727,0.0,1.2792042981336627,2.8181818181818183,2.0,2.301890809465405,0.045454545454545456,0.0,0.21320071635561041,0.10818181818181817,0.0,0.19007858935153674,0.08636363636363636,0.08,0.09052994529806696,0.19409090909090906,0.125,0.2365155605654951,0.10227272727272728,0.0,0.17797623753057915,0.18818181818181817,0.125,0.22432197021323239,0.0,0.0,0.0
Brighton,0.0,0.0,0.0,0.0,0.0,0.0,1998.857142857143,2000.0,5.169098250137703,21.214285714285715,23.0,10.833272283100262,14.928571428571429,11.5,10.721831557978888,1339.642857142857,1056.0,946.3533994305492,14.889285714285714,11.75,10.512544157152666,2.2857142857142856,1.0,3.172300752370756,1.4642857142857142,1.0,1.7101471207481462,3.75,2.0,4.687453703475078,2.0357142857142856,1.0,2.755225914742717,0.25,0.0,0.9670497325294006,0.25,0.0,0.9670497325294006,2.7857142857142856,2.0,2.6297041497750118,0.10714285714285714,0.0,0.314970394174356,0.1375,0.095,0.14584682477276045,0.09214285714285715,0.03,0.12482156576659051,0.22964285714285712,0.15500000000000003,0.23230698308818526,0.12428571428571429,0.095,0.12850792082313725,0.21642857142857144,0.15500000000000003,0.21229284954574887,0.0,0.0,0.0
Chelsea,0.0,0.0,0.0,0.0,0.0,0.0,2000.6923076923076,2001.0,2.541955637208984,21.26923076923077,20.5,12.343606255248721,16.076923076923077,13.0,12.902474419809796,1441.6153846153845,1117.5,1125.1496283400913,16.015384615384615,12.4,12.505604897251226,2.3461538461538463,1.0,3.665431027230579,1.8076923076923077,1.0,2.298159798956213,4.153846153846154,2.0,5.738935843463022,2.1923076923076925,1.0,3.1625209029409533,0.15384615384615385,0.0,0.7844645405527362,0.19230769230769232,0.0,0.9805806756909202,3.8846153846153846,2.5,3.4097146282575976,0.07692307692307693,0.0,0.271746488194703,0.12615384615384614,0.06,0.15344254750431963,0.115,0.07,0.12646738710039043,0.24307692307692308,0.15000000000000002,0.25593388569346154,0.12192307692307693,0.06,0.14636992124802775,0.23884615384615385,0.15000000000000002,0.24977312782726524,0.0,0.0,0.0
Crystal Palace,0.0,0.0,0.0,0.0,0.0,0.0,1998.0454545454545,1998.0,3.4706562125129286,25.136363636363637,31.0,12.06054351829593,18.863636363636363,19.0,14.119542197304833,1690.8636363636363,1743.0,1183.0935757964833,18.79090909090909,19.4,13.153087962289424,2.1818181818181817,1.0,3.567530340063379,1.7272727272727273,1.0,2.2924683760984044,3.909090909090909,2.0,5.1446605784572865,2.0454545454545454,1.0,3.184445421214287,0.13636363636363635,0.0,0.4675625290960757,0.18181818181818182,0.0,0.5884898863364997,3.5,2.0,3.446875742023838,0.18181818181818182,0.0,0.39477101697586137,0.13636363636363635,0.04,0.1830572498153425,0.09818181818181819,0.05,0.14782990108120772,0.23363636363636367,0.14500000000000002,0.3003735048639318,0.13136363636363635,0.04,0.17594088440494668,0.2290909090909091,0.14500000000000002,0.2957300746563952,0.0,0.0,0.0
Everton,0.0,0.0,0.0,0.0,0.0,0.0,1996.909090909091,1998.5,5.041816480189759,24.5,25.5,9.743129447388627,18.954545454545453,17.0,11.21426503430966,1700.2272727272727,1582.5,960.536900053109,18.895454545454545,17.6,10.664023955637335,1.7727272727272727,1.0,2.5058373409343195,1.2272727272727273,1.0,1.477830397570264,3.0,2.0,2.8619008002508037,1.6818181818181819,1.0,2.2548648705444823,0.09090909090909091,0.0,0.42640143271122083,0.09090909090909091,0.0,0.42640143271122083,3.6363636363636362,4.0,2.3613042107609887,0.09090909090909091,0.0,0.29424494316824984,0.09863636363636363,0.035,0.13317712711328167,0.08227272727272728,0.05,0.11351239991765187,0.1809090909090909,0.1,0.18523881859216207,0.09545454545454546,0.035,0.12812669595541054,0.17772727272727273,0.1,0.18314531878322143,0.0,0.0,0.0
